,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
,,,,,,,,,
3/31/2004,519.22,3.60487,500.33%,854.46%,0.71%,1.42%,,,
2/27/2004,515.57,3.1312,496.11%,841.07%,4.29%,4.92%,,,
1/30/2004,494.36,0.05528,471.59%,796.90%,0.25%,0.26%,,,
,,,,,,,,,
12/31/2003,493.15,0.73352,470.19%,794.60%,8.11%,8.27%,,,
11/28/2003,456.17,4.89059,427.43%,726.24%,-0.62%,0.46%,,,
10/31/2003,459,0.44991,430.71%,722.46%,7.42%,7.53%,,,
,,,,,,,,,
9/30/2003,427.28,3.52793,394.03%,664.86%,3.85%,4.74%,,,
8/29/2003,411.42,2.18844,375.70%,630.25%,2.38%,2.93%,,,
7/31/2003,401.86,0.14424,364.64%,609.49%,-0.44%,-0.40%,,,
,,,,,,,,,
6/30/2003,403.62,3.6647,366.67%,612.35%,3.37%,4.32%,,,
5/30/2003,390.45,1.41621,351.45%,582.87%,3.10%,3.48%,,,
4/30/2003,378.7,0.23156,337.86%,559.89%,7.87%,7.94%,,,
,,,,,,,,,
3/31/2003,351.06,3.38127,305.90%,511.33%,2.88%,3.90%,,,
2/28/2003,341.24,1.66508,294.55%,488.36%,-1.58%,-1.09%,,,
1/31/2003,346.72,0.01402,300.88%,494.85%,2.52%,2.52%,,,
,,,,,,,,,
12/31/2002,338.19,0.35245,291.03%,480.21%,-2.35%,-2.25%,,,
11/29/2002,346.35,2.7157,300.45%,493.59%,2.06%,2.87%,,,
10/31/2002,339.37,1.042,292.39%,477.00%,5.31%,5.63%,,,
,,,,,,,,,
9/30/2002,322.27,2.73042,272.61%,446.23%,-6.04%,-5.28%,,,
8/30/2002,342.97,2.02747,296.55%,476.67%,2.17%,2.78%,,,
7/31/2002,335.67,--,288.11%,461.06%,-8.01%,-8.01%,,,
,,,,,,,,,
6/28/2002,364.89,2.91888,321.90%,509.90%,-4.96%,-4.23%,,,
5/31/2002,383.92,0.61957,343.89%,536.85%,5.85%,6.02%,,,
4/30/2002,362.7,0.39101,319.36%,500.66%,-1.02%,-0.91%,,,
,,,,,,,,,
3/29/2002,366.42,2.70794,323.66%,506.18%,2.88%,3.64%,,,
2/28/2002,356.18,1.45964,311.82%,484.87%,0.34%,0.74%,,,
1/31/2002,354.98,--,310.43%,480.54%,0.64%,0.64%,,,
,,,,,,,,,
