,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
8/30/1985,178.95,--,78.95%,78.95%,-1.25%,-1.25%,,,
7/31/1985,181.21,--,81.21%,81.21%,-0.64%,-0.64%,,,
,,,,,,,,,
6/28/1985,182.37,--,82.37%,82.37%,1.13%,1.13%,,,
5/31/1985,180.34,--,80.34%,80.34%,5.83%,5.83%,,,
4/30/1985,170.4,--,70.40%,70.40%,-0.57%,-0.57%,,,
,,,,,,,,,
3/29/1985,171.38,--,71.38%,71.38%,-0.08%,-0.08%,,,
2/28/1985,171.52,--,71.52%,71.52%,0.83%,0.83%,,,
1/31/1985,170.1,--,70.10%,70.10%,7.65%,7.65%,,,
,,,,,,,,,
12/31/1984,158.01,--,58.01%,58.01%,2.14%,2.14%,,,
11/30/1984,154.7,--,54.70%,54.70%,-1.35%,-1.35%,,,
10/31/1984,156.81,--,56.81%,56.81%,0.13%,0.13%,,,
,,,,,,,,,
9/28/1984,156.6,--,56.60%,56.60%,-0.22%,-0.22%,,,
8/31/1984,156.94,--,56.94%,56.94%,10.46%,10.46%,,,
7/31/1984,142.08,--,42.08%,42.08%,-1.18%,-1.18%,,,
,,,,,,,,,
6/29/1984,143.77,--,43.77%,43.77%,1.72%,1.72%,,,
5/31/1984,141.34,--,41.34%,41.34%,-5.98%,-5.98%,,,
4/30/1984,150.33,--,50.33%,50.33%,0.66%,0.66%,,,
,,,,,,,,,
3/30/1984,149.34,--,49.34%,49.34%,1.47%,1.47%,,,
2/29/1984,147.18,--,47.18%,47.18%,-4.51%,-4.51%,,,
1/31/1984,154.13,--,54.13%,54.13%,-1.47%,-1.47%,,,
,,,,,,,,,
12/30/1983,156.43,--,56.43%,56.43%,-0.90%,-0.90%,,,
11/30/1983,157.85,--,57.85%,57.85%,1.79%,1.79%,,,
10/31/1983,155.07,--,55.07%,55.07%,-1.48%,-1.48%,,,
,,,,,,,,,
9/30/1983,157.4,--,57.40%,57.40%,0.95%,0.95%,,,
8/31/1983,155.92,--,55.92%,55.92%,1.68%,1.68%,,,
7/29/1983,153.34,--,53.34%,53.34%,-3.58%,-3.58%,,,
,,,,,,,,,
6/30/1983,159.04,--,59.04%,59.04%,3.51%,3.51%,,,
5/31/1983,153.64,--,53.64%,53.64%,-1.89%,-1.89%,,,
4/29/1983,156.6,--,56.60%,56.60%,7.47%,7.47%,,,
,,,,,,,,,
3/31/1983,145.71,--,45.71%,45.71%,3.08%,3.08%,,,
2/28/1983,141.36,--,41.36%,41.36%,1.72%,1.72%,,,
1/31/1983,138.97,--,38.97%,38.97%,3.59%,3.59%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/31/1982,134.15,--,34.15%,34.15%,1.38%,1.38%,,,
11/30/1982,132.32,--,32.32%,32.32%,3.46%,3.46%,,,
10/29/1982,127.9,--,27.90%,27.90%,10.66%,10.66%,,,
,,,,,,,,,
9/30/1982,115.58,--,15.58%,15.58%,0.83%,0.83%,,,
8/31/1982,114.63,--,14.63%,14.63%,11.77%,11.77%,,,
7/30/1982,102.56,--,2.56%,2.56%,-2.31%,-2.31%,,,
,,,,,,,,,
6/30/1982,104.99,--,4.99%,4.99%,-1.79%,-1.79%,,,
5/31/1982,106.9,--,6.90%,6.90%,-3.82%,-3.82%,,,
4/30/1982,111.15,--,11.15%,11.15%,3.86%,3.86%,,,
,,,,,,,,,
3/31/1982,107.02,--,7.02%,7.02%,-1.05%,-1.05%,,,
2/26/1982,108.16,--,8.16%,8.16%,-5.65%,-5.65%,,,
1/29/1982,114.64,--,14.64%,14.64%,-1.61%,-1.61%,,,
,,,,,,,,,
12/31/1981,116.52,--,16.52%,16.52%,-3.11%,-3.11%,,,
11/30/1981,120.26,--,20.26%,20.26%,3.90%,3.90%,,,
10/30/1981,115.75,--,15.75%,15.75%,4.47%,4.47%,,,
