,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
1/31/2006,0.41,--,228.49%,294.94%,7.85%,7.85%,,,,,
,,,,,,,,,,,
12/30/2005,0.38,0.00555,204.58%,266.19%,9.78%,11.38%,,,,,
11/30/2005,0.35,--,177.45%,228.77%,12.18%,12.18%,,,,,
10/31/2005,0.31,--,147.34%,193.08%,-6.16%,-6.16%,,,,,
,,,,,,,,,,,
9/30/2005,0.33,0.00004,163.58%,212.33%,11.41%,11.42%,,,,,
8/31/2005,0.3,--,136.59%,180.32%,-2.64%,-2.64%,,,,,
7/29/2005,0.31,--,143.01%,187.93%,12.38%,12.38%,,,,,
,,,,,,,,,,,
6/30/2005,0.27,0.00062,116.24%,156.21%,0.14%,0.37%,,,,,
5/31/2005,0.27,--,115.94%,155.26%,4.94%,4.94%,,,,,
4/29/2005,0.26,--,105.77%,143.24%,-4.87%,-4.87%,,,,,
,,,,,,,,,,,
3/31/2005,0.27,0.00015,116.30%,155.69%,-6.21%,-6.15%,,,,,
2/28/2005,0.29,--,130.61%,172.46%,10.27%,10.27%,,,,,
1/31/2005,0.26,--,109.14%,147.09%,6.74%,6.74%,,,,,
,,,,,,,,,,,
12/31/2004,0.25,0.00568,95.94%,131.49%,2.13%,4.51%,,,,,
11/30/2004,0.24,--,91.86%,121.49%,10.79%,10.79%,,,,,
10/29/2004,0.22,--,73.17%,99.91%,1.90%,1.90%,,,,,
,,,,,,,,,,,
9/30/2004,0.21,--,69.94%,96.19%,3.61%,3.61%,,,,,
8/31/2004,0.21,--,64.02%,89.35%,9.46%,9.46%,,,,,
7/30/2004,0.19,--,49.84%,72.98%,-8.33%,-8.33%,,,,,
,,,,,,,,,,,
6/30/2004,0.21,0.00123,63.45%,88.70%,-2.86%,-2.28%,,,,,
5/31/2004,0.21,--,68.27%,93.10%,-6.26%,-6.26%,,,,,
4/30/2004,0.23,--,79.51%,105.99%,-6.36%,-6.36%,,,,,
,,,,,,,,,,,
3/31/2004,0.24,0.00013,91.70%,119.98%,3.36%,3.41%,,,,,
2/27/2004,0.23,--,85.47%,112.72%,3.24%,3.24%,,,,,
1/30/2004,0.23,--,79.65%,106.04%,9.32%,9.32%,,,,,
,,,,,,,,,,,
12/31/2003,0.21,0.00393,64.33%,88.47%,2.80%,4.82%,,,,,
11/28/2003,0.2,--,59.86%,79.81%,-0.18%,-0.18%,,,,,
10/31/2003,0.2,--,60.14%,80.13%,11.30%,11.30%,,,,,
,,,,,,,,,,,
9/30/2003,0.18,--,43.89%,61.85%,-6.34%,-6.34%,,,,,
8/29/2003,0.19,--,53.63%,72.80%,5.73%,5.73%,,,,,
7/31/2003,0.18,--,45.31%,63.44%,10.72%,10.72%,,,,,
,,,,,,,,,,,
6/30/2003,0.16,0.00022,31.24%,47.62%,8.03%,8.17%,,,,,
5/30/2003,0.15,--,21.48%,36.46%,6.12%,6.12%,,,,,
